Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2025-02-14 00:00:00-05:00,25.670000076293945,25.93000030517578,25.600000381469727,25.8700008392334,31687800,0.0,0.0,T
2025-02-18 00:00:00-05:00,25.709999084472656,26.18000030517578,25.709999084472656,26.06999969482422,52442500,0.0,0.0,T
2025-02-19 00:00:00-05:00,26.219999313354492,26.350000381469727,26.06999969482422,26.239999771118164,30551500,0.0,0.0,T
2025-02-20 00:00:00-05:00,26.200000762939453,26.280000686645508,25.940000534057617,26.149999618530273,32753900,0.0,0.0,T
2025-02-21 00:00:00-05:00,26.079999923706055,26.719999313354492,25.969999313354492,26.6200008392334,58421500,0.0,0.0,T
2025-02-24 00:00:00-05:00,26.6200008392334,27.1299991607666,26.600000381469727,26.739999771118164,54549600,0.0,0.0,T
2025-02-25 00:00:00-05:00,26.8700008392334,27.15999984741211,26.260000228881836,26.649999618530273,52497200,0.0,0.0,T
2025-02-26 00:00:00-05:00,26.559999465942383,26.829999923706055,26.43000030517578,26.56999969482422,39296500,0.0,0.0,T
2025-02-27 00:00:00-05:00,26.639999389648438,26.969999313354492,26.56999969482422,26.899999618530273,32943300,0.0,0.0,T
2025-02-28 00:00:00-05:00,27.0,27.489999771118164,27.0,27.40999984741211,62510800,0.0,0.0,T
2025-03-03 00:00:00-05:00,27.270000457763672,27.860000610351562,27.190000534057617,27.719999313354492,45078600,0.0,0.0,T
2025-03-04 00:00:00-05:00,27.799999237060547,27.969999313354492,26.1200008392334,26.219999313354492,89479700,0.0,0.0,T
2025-03-05 00:00:00-05:00,26.06999969482422,26.389999389648438,25.829999923706055,26.18000030517578,42010100,0.0,0.0,T
2025-03-06 00:00:00-05:00,26.219999313354492,26.790000915527344,26.059999465942383,26.729999542236328,32211600,0.0,0.0,T
2025-03-07 00:00:00-05:00,26.670000076293945,27.209999084472656,26.600000381469727,27.1200008392334,35341900,0.0,0.0,T
2025-03-10 00:00:00-04:00,27.110000610351562,27.459999084472656,26.68000030517578,27.280000686645508,57820800,0.0,0.0,T
2025-03-11 00:00:00-04:00,26.469999313354492,26.829999923706055,25.59000015258789,26.010000228881836,74574300,0.0,0.0,T
2025-03-12 00:00:00-04:00,25.6299991607666,25.860000610351562,24.889999389648438,25.719999313354492,62383200,0.0,0.0,T
2025-03-13 00:00:00-04:00,25.790000915527344,26.459999084472656,25.760000228881836,26.09000015258789,37698500,0.0,0.0,T
2025-03-14 00:00:00-04:00,25.799999237060547,26.649999618530273,25.75,26.579999923706055,37591300,0.0,0.0,T
2025-03-17 00:00:00-04:00,26.56999969482422,26.93000030517578,26.25,26.829999923706055,45570000,0.0,0.0,T
2025-03-18 00:00:00-04:00,26.799999237060547,26.979999542236328,26.559999465942383,26.610000610351562,30365600,0.0,0.0,T
2025-03-19 00:00:00-04:00,26.649999618530273,26.940000534057617,26.450000762939453,26.84000015258789,30145700,0.0,0.0,T
2025-03-20 00:00:00-04:00,26.899999618530273,26.93000030517578,26.68000030517578,26.790000915527344,27272300,0.0,0.0,T
2025-03-21 00:00:00-04:00,26.809999465942383,27.209999084472656,26.639999389648438,27.020000457763672,91268600,0.0,0.0,T
2025-03-24 00:00:00-04:00,26.860000610351562,27.219999313354492,26.84000015258789,26.959999084472656,26863300,0.0,0.0,T
2025-03-25 00:00:00-04:00,26.969999313354492,27.559999465942383,26.969999313354492,27.309999465942383,42339700,0.0,0.0,T
2025-03-26 00:00:00-04:00,27.40999984741211,27.84000015258789,27.360000610351562,27.649999618530273,42607100,0.0,0.0,T
2025-03-27 00:00:00-04:00,27.770000457763672,28.420000076293945,27.639999389648438,28.200000762939453,42992700,0.0,0.0,T
